srcip,sport,dstip,dport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,attack_cat,label
226,47962,172,838,icmp,INT,96.83134926487455,1112,1344,211,121,1,4,smtp,0.6715372427139699,7.508052762657829,69,47,319,27149,89838,901,0.9562428093296386,0.39275767675796935,0.0720155787585468,Normal,1
15,57414,39,860,udp,INT,69.37732319154367,960,1925,62,139,1,2,http,8.356619464236754,4.897475139698794,42,13,840,143,23373,667,0.5070904056869968,0.6094988847845821,0.8591569383145432,Backdoor,0
139,54808,149,367,tcp,FIN,60.70091022262757,1268,186,12,51,1,1,http,0.8288308931614985,5.046446954930298,22,72,690,78078,2824,683,0.796878804856217,0.03660626124910871,0.46857547101146935,Fuzzers,0
217,33492,140,461,tcp,CON,13.661941249308175,1461,233,232,95,8,6,ssh,1.137486299913918,9.42330295507243,19,32,885,5602,11431,192,0.8205657751701457,0.596356052911276,0.3985556899086501,Normal,0
187,12279,149,649,icmp,FIN,79.11060897640787,242,1485,46,79,3,0,ftp,3.6074801218872743,5.881709227167117,36,86,435,9301,71141,635,0.09087147240954796,0.16432186966319506,0.2714173748383373,Analysis,1
60,30810,87,932,tcp,INT,97.07838995189579,94,152,191,16,3,6,smtp,0.9317567220526302,6.401822567776822,13,52,820,72796,92485,471,0.4901607302970199,0.6478496717358633,0.4642731118104456,Normal,1
120,51085,170,797,udp,INT,80.1908472611202,1354,975,41,97,4,3,dns,1.12671992829655,9.224519448394295,65,42,932,68865,67435,514,0.7132798960613547,0.16447316259478983,0.8760455056837485,Analysis,0
140,40989,225,870,udp,INT,56.56102843761589,1777,1564,113,246,1,0,dns,7.608799953208555,5.290697408125161,51,75,582,85097,74888,326,0.38310731327750136,0.7070368283772228,0.07107210376041984,DoS,1
196,26071,154,816,tcp,INT,68.4281091474667,1421,1554,66,209,2,3,http,0.5680140494281127,3.562714066717394,74,89,958,21152,18877,579,0.9505251384746178,0.24099275197304937,0.7194818021229759,Fuzzers,0
109,14896,222,199,tcp,FIN,53.28191581882471,261,693,12,147,7,6,smtp,9.255364497826914,2.328070325359165,91,59,165,10305,7188,180,0.5593930162812935,0.4968345263823779,0.8430567752450178,Backdoor,1
73,43076,196,234,udp,FIN,3.7090367484589493,1746,262,181,92,3,6,smtp,3.483872670675201,9.177902753523874,35,40,534,32437,22863,471,0.5747728639172278,0.014055555692234822,0.9828997506672235,Analysis,0
203,28658,80,908,tcp,CON,87.12283278289797,1101,1143,97,82,6,6,ftp,2.9614037891754332,3.885415025698652,68,27,272,60963,40490,937,0.19329569932836377,0.9166826313670007,0.6851027834430724,DoS,0
226,31478,187,470,icmp,INT,23.380848597068937,42,780,196,152,8,2,smtp,5.180147556053259,6.064247778103747,3,72,792,99292,11115,110,0.849050636888061,0.529004534909369,0.1726806745175995,Analysis,1
125,61566,171,213,udp,CON,31.351163977364326,1888,59,219,18,8,8,http,5.979402068999135,0.5430274069558416,34,96,970,71279,86798,468,0.7020788573352258,0.8385377718918419,0.3560493198684038,Fuzzers,1
8,1612,240,319,icmp,INT,91.54552685594325,104,1739,51,180,9,8,ssh,1.6919525683880499,3.0259278059073704,74,26,237,71036,41259,117,0.48950038459037326,0.9028061074256903,0.4277199680836644,Analysis,0
128,16394,86,512,icmp,CON,74.78609118873936,1909,1978,172,36,0,4,ftp,1.406865676797211,8.628327471766891,49,49,681,24274,64236,665,0.48839707731351445,0.568147572564955,0.4917667285401073,Normal,0
226,60362,42,577,icmp,CON,55.03687681601579,1518,97,137,228,8,0,smtp,2.0023385012236785,6.156810964136993,69,51,101,93179,27087,924,0.7971111366061193,0.6324837849205341,0.3242126494454224,Analysis,1
252,60476,173,216,udp,INT,25.42148065960803,1509,1317,76,247,9,5,ssh,7.436165179284529,5.08551575163088,67,39,590,40041,75542,828,0.9493794730050064,0.5022952303221636,0.6697833344795467,Fuzzers,1
102,20538,161,272,tcp,CON,82.34978929632364,1802,548,93,4,1,3,ssh,9.3315625338033,5.272447578408785,69,43,333,97827,27111,602,0.46015085157801616,0.8735861275688047,0.7757622549381127,Analysis,0
39,65161,156,408,tcp,FIN,53.439953572835286,1289,1325,153,95,2,3,http,2.0899751960349255,5.708379945693039,42,65,402,82263,75251,123,0.3765309106706639,0.17401231378414805,0.8178738808237285,Analysis,0
146,14673,188,234,udp,CON,54.604642937249025,258,240,248,224,0,6,smtp,1.19895785821453,3.0273289486490498,15,93,352,7081,61715,954,0.5109485386243078,0.7837769252211103,0.6468834498173006,Backdoor,0
211,4372,130,1009,tcp,INT,18.983727390732753,1032,1509,237,210,0,3,dns,9.490147798370687,7.319949762252296,99,5,585,7182,40734,666,0.041686550244991794,0.43901622929256134,0.5365168645862577,Backdoor,1
241,20836,8,40,icmp,FIN,43.918837714236034,350,238,88,28,7,2,ftp,7.943324179425071,4.666091282623508,97,71,965,10462,63607,169,0.6413719972037032,0.20352521781225008,0.8923915130709005,Fuzzers,1
14,35303,224,788,udp,INT,35.68598587865595,351,752,101,54,5,3,ftp,7.869527291096007,4.343292788815748,97,42,527,19043,83407,350,0.18986129418153141,0.28515316858652684,0.12447096672490299,DoS,0
74,1412,71,314,icmp,FIN,29.361471707838028,208,676,251,55,6,8,dns,6.185284454308362,7.385275274579697,91,39,731,67515,1729,304,0.3044819430355695,0.46353977713510575,0.13267021056408146,DoS,0
122,12108,63,576,tcp,INT,47.3511885842205,999,827,58,24,4,6,ssh,6.990973060654602,3.8094141247725433,99,30,845,27494,98350,331,0.009156834247239676,0.7513573828815516,0.10045470415894941,DoS,1
25,52045,207,329,icmp,INT,84.08493036193924,1340,962,186,144,5,3,ftp,3.2147340867364194,7.089776941097927,95,89,949,22316,30976,323,0.9557727915941432,0.22914384880064254,0.22156231614507071,Analysis,0
226,41131,203,959,udp,CON,31.62424085911113,694,897,216,210,2,2,http,2.6613057120328376,4.045383780070869,68,60,793,25370,98146,261,0.7780790931689016,0.43363585846196173,0.07562511473318667,Backdoor,0
29,40071,129,996,icmp,FIN,24.59362285592306,1429,416,16,206,3,8,ssh,5.311525658381874,1.7330280143703003,89,18,759,82082,8530,481,0.8844294473233308,0.7615225193980365,0.34602770796937343,Backdoor,0
169,64860,176,381,udp,CON,88.22028172426445,1819,1595,138,174,8,5,smtp,9.123834276872449,6.703282587523023,94,12,745,21064,74745,549,0.9501858265304189,0.31932426910939915,0.9198905695609205,Normal,0
234,15757,21,48,tcp,INT,77.28254496286237,657,1924,33,133,2,1,http,1.2548270425074548,9.873318299840538,91,1,614,74820,49175,468,0.04699825056493434,0.36471501612712354,0.049804988468095,Backdoor,1
175,58882,72,193,icmp,FIN,56.54678390240746,67,204,146,239,0,9,http,4.6914027135991265,1.634204681606739,94,57,225,98511,25278,268,0.43291622068163393,0.5962325301213862,0.4824244643632116,DoS,1
194,23938,62,739,tcp,INT,68.00584016832904,1435,1184,124,230,8,5,dns,4.922199946821058,5.556833700027851,34,44,453,88513,79786,266,0.2165558000287523,0.06496399539314246,0.591276831512568,Backdoor,1
67,60686,108,852,icmp,FIN,8.46639301817974,1222,606,236,201,8,8,http,3.5372160121723697,2.2308377668669612,5,95,838,2424,67212,359,0.7822669443887633,0.5113614207138324,0.16781995134184435,Fuzzers,0
211,51547,91,60,icmp,INT,73.8174736084884,168,1907,14,198,2,6,dns,6.229351191873503,3.486917072593015,91,73,964,90585,40480,335,0.6064216671895374,0.07876536310132176,0.9104434409848461,Analysis,1
107,14787,18,32,tcp,CON,89.11481655573614,1682,1570,103,132,0,4,ssh,6.256955732621666,0.05844307437467999,87,74,597,25000,44161,747,0.7189454128798373,0.3970589634165971,0.8093696362980389,Fuzzers,1
16,14531,175,513,udp,INT,47.30652009483053,1241,1290,161,88,1,9,smtp,1.8180788225706102,8.96979278992588,35,16,724,35928,34053,968,0.313593621730884,0.5936024571063189,0.5456997995176021,Normal,0
94,36009,152,827,icmp,FIN,84.18495583579457,129,174,186,170,8,6,http,8.683097079233974,3.5448465604662047,78,78,832,16882,7106,974,0.43055713959345354,0.842583335697257,0.5024389405651425,Analysis,1
89,33457,97,789,icmp,CON,56.93558644045923,1342,1604,138,222,6,0,smtp,0.4068796848529854,9.30764442632697,71,6,271,8828,56898,510,0.9841881711695046,0.8839136120736983,0.35285064366135455,DoS,1
133,16173,226,41,udp,CON,3.6069300242299485,1170,1898,220,209,2,9,ssh,0.8433769981300965,5.214543517479864,15,31,291,29813,54363,666,0.6247303666444514,0.94300240446086,0.8254875759650947,Analysis,0
68,17821,92,1012,udp,CON,1.2923076232597697,74,1872,48,40,8,0,ssh,2.9153358619137313,5.975531925200066,45,53,313,62154,57493,993,0.2722044296501598,0.5484494683225624,0.3010948903038323,DoS,1
118,59046,30,305,icmp,INT,12.668062853611396,1102,1123,152,244,2,8,http,2.007832312192198,0.09611370223753912,75,67,606,8402,58139,248,0.9607814625222162,0.35408193565375123,0.18601041309212296,DoS,0
109,49645,216,250,udp,INT,96.40441499104368,1020,1259,119,213,2,9,smtp,1.4612963951403668,6.817990845904043,33,92,576,74502,76777,339,0.9890608387109071,0.35532213545553537,0.3640653759751189,Analysis,0
84,13355,34,376,udp,FIN,95.68504946174563,149,278,154,89,3,0,http,5.483303085672663,8.413439982640284,84,44,899,21787,99458,666,0.08725066797866765,0.9549725724761762,0.375566076932367,Backdoor,0
177,47810,19,779,tcp,INT,4.164945839265166,760,148,147,153,0,1,http,5.023666218534042,3.409884423067424,26,34,626,48005,64822,644,0.31389321003346415,0.41895917929464777,0.13523674052771895,Fuzzers,1
78,10956,121,339,icmp,CON,36.920781977556814,1420,425,126,211,4,9,ssh,8.340711277016545,0.4579969434439912,4,53,524,90921,91760,326,0.08460299707646857,0.051766849114812,0.5503223581705454,DoS,1
195,29731,148,669,udp,CON,94.67245370495004,1178,708,8,246,6,0,dns,5.577012905942912,7.7041253474581515,33,12,509,72465,45507,135,0.8498254167502806,0.8192036593683888,0.3756616476180773,Analysis,1
64,1808,72,264,udp,FIN,55.30434506425593,854,443,23,75,1,5,smtp,8.466609185957955,0.9804641998591823,60,73,102,68244,43731,372,0.5140415197679568,0.91089444647832,0.7786180919947948,Analysis,0
220,42906,214,138,icmp,CON,79.20560541239749,1206,979,223,75,7,2,ftp,9.644704312196296,3.758427125002488,63,75,683,30548,12667,852,0.5752308467936704,0.7775685979524571,0.277113862342112,Fuzzers,0
93,12761,71,128,icmp,CON,20.422376166371738,909,405,73,149,9,3,ftp,1.7158305693107379,3.8526659344653025,42,31,939,30694,53253,931,0.5398883184895992,0.6811373337273935,0.3171206035678641,Normal,0
11,16253,245,460,udp,FIN,10.278659776023547,206,1634,118,214,1,3,http,3.9003279558998925,0.6379596069762006,44,79,242,78370,45037,586,0.6048257827819216,0.6062647240633102,0.8520353045765424,DoS,1
39,13265,163,23,udp,FIN,33.034823686576686,144,1057,98,158,3,7,ssh,0.14263078498958914,9.387217039522582,57,77,697,74516,43464,230,0.7532986163235182,0.2013713864445268,0.5096541794899899,Analysis,0
205,12855,47,581,icmp,FIN,69.24427034850571,1275,245,75,175,0,1,ftp,7.689310950162479,1.701167248690536,82,52,105,83688,80673,966,0.1541338439581733,0.1534926214102288,0.5650798872380063,Fuzzers,0
222,6022,105,797,udp,FIN,92.9907091935131,810,1625,65,1,1,8,dns,9.542209975058583,7.011823510621817,60,19,425,15457,92943,548,0.4996892214201789,0.10739084756380635,0.2661496752195327,Analysis,0
54,36793,20,585,tcp,FIN,78.018024285926,1528,107,143,147,3,7,ssh,2.6747317783127853,2.265161871023238,9,97,625,26030,77312,974,0.23688807237821052,0.3708938196948005,0.8120123145645052,Fuzzers,0
153,57002,215,478,udp,INT,40.938839048933694,238,358,70,168,8,2,smtp,8.382275949725503,0.2586634145570177,64,71,171,73417,17295,624,0.3348123729625413,0.546367402640944,0.6745450145686797,Analysis,1
146,20475,165,190,udp,FIN,37.27730709318811,1639,1347,235,98,1,5,dns,9.625254237033655,1.918599831834692,25,46,531,71903,72047,940,0.5724224380282931,0.3909238975603633,0.45868487904626964,Analysis,1
34,51342,109,182,tcp,CON,87.03900728801294,1447,138,222,128,2,1,ftp,4.599154434818228,4.97726700463879,29,29,474,53263,43877,743,0.28236550150305206,0.3914746541688876,0.13401896966443594,Fuzzers,0
115,36090,173,136,tcp,INT,51.7400392528955,1663,536,85,170,6,9,http,2.296652180996579,7.604127162126862,81,12,834,54921,12770,696,0.08821210433705551,0.9654441040285917,0.5434372294986439,Fuzzers,0
177,17440,157,102,udp,FIN,45.67939480622748,1571,106,150,91,9,1,ssh,7.003155067789475,7.51298765925402,14,2,521,34646,90771,233,0.28420812720635,0.5621488954439074,0.9841256011783432,Analysis,1
246,5003,153,585,udp,CON,28.55977377534371,143,133,242,65,3,2,dns,4.381476207226084,8.383550021775017,88,23,333,27728,5843,657,0.807739729143279,0.6146374820790714,0.9113502114409642,DoS,0
216,51552,102,299,tcp,FIN,68.97957110329389,361,285,240,183,8,6,smtp,8.902941083199043,0.4288023960964171,30,96,515,31613,4084,250,0.30366627100901267,0.31945108661909716,0.9645892771208766,Analysis,1
25,2501,90,684,udp,CON,15.20283051251755,386,308,94,149,2,4,ssh,3.564808022332573,2.8268489950434708,60,29,481,24660,30744,666,0.997909888229793,0.5026254926477396,0.45524169178270424,Normal,0
61,28258,66,375,tcp,INT,38.79216751927752,263,435,115,170,3,9,http,4.747397765535963,0.4858208108854223,47,94,552,87445,57364,225,0.1424307161087084,0.2705725284005702,0.7962588913173595,Normal,0
111,3233,200,343,icmp,CON,75.24401176659664,1468,1753,190,189,7,3,dns,4.111081324281754,9.88308538501644,46,73,326,47131,43772,631,0.25862339566564707,0.4659191260284995,0.04500395562075876,Normal,1
39,51053,120,483,udp,CON,67.5040131940114,1940,843,160,163,8,7,ssh,8.072053069464664,2.9239298176240727,29,21,950,21121,26718,255,0.5687434032864537,0.9100041327497904,0.9077160885706191,Normal,1
145,64878,120,384,tcp,FIN,13.327349339906025,1653,75,120,215,2,1,dns,8.282946251817352,7.663859800927913,25,79,727,78634,56879,517,0.26619363291053255,0.2349063195677269,0.4294171143211175,Normal,1
3,21861,184,121,udp,INT,35.790621424405444,921,1495,146,112,4,4,dns,5.01151691129381,2.0718902462184055,58,89,938,25375,85033,865,0.6744640150671689,0.882803800629874,0.159932731079241,Analysis,1
29,21255,135,45,icmp,CON,39.42924774163911,1818,181,16,79,0,6,ssh,4.739912979299018,4.647692981760051,96,25,795,23698,50916,903,0.18480964244374087,0.9157314301798262,0.954235131758206,Fuzzers,0
13,37450,243,1003,tcp,CON,23.362021584484427,1486,87,240,43,2,4,ssh,9.348809781545999,4.094613340398997,36,39,104,45095,5725,634,0.18999763385958113,0.9280549841264188,0.9787444541017816,DoS,1
76,33407,62,127,udp,CON,20.028335820605182,1416,1322,195,80,8,1,dns,0.0904667010616167,5.450631877325996,66,48,771,61364,71038,152,0.8490483394440546,0.20488083901553145,0.493181300736101,Fuzzers,1
194,25642,11,289,tcp,CON,50.89972143127612,487,594,30,177,2,0,smtp,3.7168927777697336,5.710415256875572,62,33,131,20934,85547,364,0.1863372436064551,0.7701629322700603,0.029291318832016078,Normal,1
46,24627,108,427,icmp,FIN,33.51332925263178,1611,1852,29,27,1,4,ssh,6.451613248428188,2.0579688188992398,9,85,701,77210,35982,191,0.1554117589226196,0.14610024863064663,0.03985918900535379,Analysis,0
251,13131,136,463,udp,CON,60.698640897438594,357,90,80,245,3,3,dns,7.04239780058818,1.345735936315855,17,38,476,81644,48902,302,0.5098964075696694,0.17693387648749004,0.3814440224589918,Backdoor,0
69,17200,209,772,udp,CON,64.09989257154346,1161,565,252,104,1,5,dns,6.982076100170894,2.0346358184095004,70,49,731,81728,81982,462,0.8009390212968438,0.20399627839330314,0.9829879748622339,Analysis,1
12,38803,162,731,icmp,INT,95.52644430526931,645,1983,191,197,8,3,http,9.71672921082354,2.4166857466388194,41,8,361,70668,6391,175,0.34408744800697977,0.8948076712920799,0.5037901052125007,DoS,0
86,48400,239,628,tcp,CON,59.061531359632625,1424,1490,239,41,0,0,ftp,4.615909697391064,9.788072767970483,27,24,786,44962,21243,112,0.6848633859746407,0.6538589690545341,0.5939902139100269,DoS,1
191,49460,22,331,udp,INT,82.11105044691442,1503,1399,197,73,7,2,ftp,4.927076068394591,2.483252476267468,66,94,350,55335,84027,107,0.3140430627817702,0.9852755047576441,0.8282962332963667,Normal,0
28,34341,137,976,tcp,CON,91.06649245570188,1178,199,192,215,8,5,dns,5.756233723163199,8.246346828965034,7,78,118,27657,55448,184,0.6549631867664871,0.16984331862190694,0.19481057850482997,DoS,1
19,49607,211,102,icmp,FIN,42.54496312056521,1076,429,28,96,6,4,smtp,0.780276649881676,1.314135265240689,45,99,100,36868,22890,152,0.5087743668762561,0.11581376767584972,0.43621710839373595,Backdoor,1
216,39215,128,331,udp,INT,17.447448044974536,40,1199,41,125,6,6,http,3.048446455578546,6.667229299276633,28,91,273,88089,86527,701,0.8898349114159151,0.6692708285817247,0.8104084775807461,Analysis,1
151,24008,71,398,udp,CON,27.96396092268454,1676,239,141,137,4,8,http,9.319376266267511,1.618305352691608,33,14,586,91585,97987,580,0.8995460057430231,0.9717059328425544,0.35049982409347125,Fuzzers,1
88,23819,196,371,tcp,INT,68.43822537119567,1375,1466,106,172,0,9,ftp,2.2544400821376898,7.397252972721552,30,29,865,25873,33777,989,0.5629537751776805,0.5702236922409992,0.7566270889457293,Analysis,1
193,34486,223,575,tcp,FIN,32.17756875433761,60,594,63,233,7,4,ssh,4.807765774984205,2.596559151685063,53,13,945,42365,10982,709,0.40331028019884374,0.6424060862458842,0.5473597526472483,Backdoor,1
215,20871,66,71,icmp,INT,13.090199887061138,1078,999,102,246,9,3,dns,3.947244333064522,4.658589912476466,87,87,794,60207,95448,310,0.6282619747856794,0.19079419184208501,0.10836499047190873,Backdoor,1
92,50296,141,865,tcp,INT,13.942265156519118,1117,1483,216,216,3,5,smtp,8.150035545752118,2.254380367388965,2,63,189,70575,66428,230,0.7955365805380523,0.3618030179964469,0.41593287692033776,DoS,1
143,12971,205,180,tcp,FIN,33.42868941481305,86,141,23,142,3,6,ftp,1.1031227810167388,6.408702743416911,60,6,972,52556,90006,701,0.4761193096239593,0.3064620616230216,0.8893459602594738,Analysis,1
3,4539,39,389,udp,INT,14.47042500642841,876,1994,193,65,1,0,ftp,2.2375859438697496,9.083161563323335,10,27,128,20530,80180,732,0.8921083976301927,0.5127257433040482,0.44466863290813996,Normal,1
78,32708,3,603,udp,INT,91.79377625283223,176,1748,162,81,4,2,ftp,9.87663646678582,6.011322294619564,40,88,173,22638,7921,391,0.3062490069796434,0.6952301376448539,0.49105351980128686,Backdoor,0
152,5661,188,913,icmp,FIN,0.6636818858618665,358,561,142,72,0,4,smtp,4.650494806430004,1.5963314459708455,68,80,651,77961,36223,762,0.39913485020714856,0.9656467258869732,0.23036845354993074,Analysis,0
51,13383,192,579,tcp,CON,23.22666693743075,1690,568,69,18,8,8,ssh,5.8991985348533715,3.8436547128318352,64,31,910,46435,38943,730,0.877497638486242,0.7547241562704331,0.18326191241692225,Fuzzers,0
252,25294,40,568,tcp,CON,92.89160651577993,740,1631,160,219,8,7,http,1.3264228545462753,6.1784946240914715,25,1,443,30831,14302,479,0.20873469385155352,0.15323591429958405,0.42727750230145156,Analysis,0
247,1293,152,267,tcp,CON,80.67346670772744,285,1379,156,232,6,2,http,0.7349634918179471,1.8827275153941603,81,61,506,48594,70383,615,0.9647382671418953,0.0943009363930073,0.8022455219735297,Analysis,0
66,15440,183,740,udp,CON,92.49416532078712,1001,1668,236,177,0,5,dns,6.773101561031197,1.9888863737975415,44,42,671,51388,29895,632,0.11614889011571561,0.5552390935840388,0.150654247579998,Backdoor,0
101,36167,245,582,tcp,INT,87.72733925459262,1082,1090,153,140,9,1,http,2.9430623652308063,7.586542498777434,48,51,356,52528,84165,242,0.6112909054606355,0.5475127799881973,0.9732879810701336,Analysis,0
49,25192,206,50,icmp,INT,42.003977066144834,795,1366,1,205,9,3,smtp,4.153856699218745,2.5819554954132515,42,66,154,80296,85257,934,0.5442540211661443,0.973580840046032,0.7163474004341583,Fuzzers,1
129,58849,56,441,icmp,INT,9.31459166614479,259,1959,208,166,7,3,smtp,2.653423278729372,4.365698461745058,37,98,619,51310,39139,793,0.0895069162427472,0.47127212985287104,0.724459608996808,Analysis,1
32,7072,147,919,icmp,CON,83.17511380239134,1820,1046,161,13,9,5,http,1.0139506597440529,9.088014218280872,86,88,214,16503,14540,374,0.803267904513753,0.9006780258510649,0.6131716130422706,Backdoor,1
100,47454,187,881,icmp,INT,37.395551054558474,171,848,22,161,8,8,ssh,4.550954578826182,5.2599438088144845,82,72,568,54743,16220,196,0.5864874688465084,0.511562928255926,0.8093349022107444,Backdoor,0
142,39215,69,234,udp,FIN,11.508369123522655,765,1859,19,174,2,4,ssh,8.161108332586448,1.592935207598526,7,23,369,56395,58169,196,0.5458905450857271,0.64025485775952,0.3924862676021511,Backdoor,0
156,42584,42,763,icmp,FIN,77.33828546070409,1344,1686,108,153,1,9,http,9.189131116783432,0.27049781596081623,80,84,274,18759,49328,697,0.5272980147235599,0.03850255243878786,0.5258733154949742,DoS,0
152,44358,112,347,udp,INT,2.5268695006752884,1754,1327,242,227,8,6,smtp,4.309049373212419,7.994704672373799,44,71,745,33894,732,179,0.6890944270706293,0.601805971575438,0.517223041277811,Normal,0
57,4401,183,784,icmp,CON,21.773914628605638,1408,812,18,54,7,7,dns,2.482450633819564,0.21169881867792895,65,64,507,1349,63426,566,0.9237809202175932,0.37979960880313157,0.23136846740991324,Normal,0
202,52106,135,545,icmp,FIN,65.61421164214322,1184,1060,92,139,4,9,http,9.502876992716129,6.653055073875326,17,76,918,56286,86366,413,0.5143339195069463,0.3302097282982627,0.11444650645965582,Normal,1
176,22400,154,342,tcp,CON,24.01150613725075,905,1405,205,52,8,9,smtp,5.587769504574417,4.528854615689026,41,69,203,591,81247,259,0.26244302669961805,0.2637276341723769,0.9203002962986351,DoS,1
192,42989,170,983,udp,CON,6.6291590353219965,1641,1236,66,193,9,5,smtp,6.902457185064023,8.621296278589965,87,92,979,6677,81134,158,0.4698487917536126,0.2527573115095163,0.4173507498897375,Backdoor,0
119,19987,243,262,icmp,INT,68.24973519384424,947,934,90,235,7,1,ftp,8.576238604086681,1.9448338611750282,59,77,308,86214,74077,117,0.7745119022908363,0.01655957758841109,0.26414600044635306,Backdoor,0
227,26594,162,367,tcp,CON,30.336984609150054,1198,1554,2,29,3,8,ssh,5.968635587545412,9.105341829470815,99,31,999,87385,21489,627,0.6920650563545895,0.9220523395088133,0.5975066142726598,DoS,1
100,46183,35,956,udp,INT,91.6993894725648,879,1225,202,59,8,9,http,9.987801466055306,1.7935850898536465,19,81,979,41893,35107,585,0.8163727573645555,0.024125506228756866,0.04494505420026895,Normal,0
205,61337,102,241,icmp,INT,6.323963271536348,1567,297,3,209,5,4,ftp,1.4501588904111917,2.8179561885516047,70,79,639,96555,49723,724,0.10685215980002105,0.006768282097433742,0.0809632663683385,DoS,1
52,57662,44,218,icmp,CON,34.93766174889059,135,337,199,71,7,0,http,9.577910710650954,6.518465326117349,63,44,472,53091,1397,817,0.981874029214328,0.12741904882378663,0.17284184484541865,Analysis,0
63,47880,193,984,icmp,CON,89.81072706031391,464,1672,247,14,7,9,dns,0.7322772281232748,5.655652931078915,65,13,655,72430,71745,181,0.744813555259143,0.5348004101627742,0.7276099264246071,Analysis,0
134,35765,254,505,udp,INT,7.963549242145018,1692,1087,60,174,4,5,ssh,8.310549277580096,4.555129969245197,6,30,349,63740,49133,169,0.631684331346855,0.30454649868443207,0.4328072446159582,Analysis,1
142,35065,196,831,icmp,FIN,87.61587189954135,224,1703,198,133,6,4,http,1.2979762640174952,7.4986055156898495,76,55,912,19176,18425,552,0.26714712106328986,0.17899740371544015,0.06698564151160691,Analysis,0
190,63316,63,109,udp,INT,83.66116129650446,1228,915,213,76,6,7,smtp,7.533085070836676,1.9789126187392547,85,5,192,77992,2727,344,0.6447162856025033,0.047455793896155285,0.5427459141502333,Analysis,0
76,14368,177,686,udp,INT,13.221960859017557,1243,730,239,51,2,1,http,9.113931224919357,4.055233846390818,44,81,249,17936,93473,774,0.7089049133062091,0.8501499860267953,0.5168048384310217,Analysis,0
222,62572,6,124,tcp,CON,55.883930054361755,306,567,45,165,2,3,smtp,2.996514217579036,9.25457694429506,58,7,890,21714,56123,719,0.47255591854246204,0.9776915308267191,0.2992646133351322,DoS,1
84,42890,70,431,icmp,INT,11.901373581594854,546,166,99,254,3,6,smtp,6.958755173652823,6.905930126017392,79,45,138,52022,97175,721,0.1214620764134724,0.6845018723710543,0.22501107414705468,Normal,1
136,40771,78,223,tcp,INT,92.71919408797228,634,1335,245,91,0,2,http,4.621479055419531,3.261649857596831,43,12,686,49894,67783,101,0.9451136317078283,0.016895860929451834,0.4562452165934344,DoS,1
237,39196,120,442,tcp,CON,98.59893100944896,954,1566,78,161,4,9,smtp,9.038250381395942,9.679487551866117,64,65,596,77429,56402,215,0.3329046553716566,0.6770547558875021,0.029498247992860716,Fuzzers,1
138,53437,82,413,icmp,CON,34.7094173683021,1091,1489,142,254,2,8,dns,5.627391875393558,0.03782108615182467,95,8,673,86640,42644,107,0.9743760119089602,0.14729621010092753,0.4948449510928059,Normal,0
174,45106,110,974,icmp,CON,96.08114951542824,513,1755,187,254,7,3,http,4.713301538019827,0.7635281546157879,98,59,679,57336,96990,554,0.9710299567969628,0.9766188226637885,0.9282651437800676,Normal,1
231,7141,3,685,icmp,FIN,27.436320959311466,665,1644,141,32,4,9,ftp,5.800364951959241,4.916247814445837,94,57,989,33151,52755,787,0.14992221884620716,0.5769660036904822,0.4170847647212932,Backdoor,1
248,51415,208,89,icmp,CON,60.26810670558302,1296,1173,175,191,0,3,ssh,1.6407858494569372,0.42924890980395536,17,7,361,92880,84913,258,0.20588942937642107,0.006716956818798248,0.5496306953873732,Analysis,1
127,48035,101,509,icmp,CON,24.12607645964219,1781,253,119,57,2,2,smtp,4.8821125299018,6.698860249129269,22,96,807,4401,55397,253,0.5637889660285742,0.9520011898010909,0.7080561883853764,Analysis,1
106,60054,206,780,udp,CON,2.1145794303334076,1461,1506,242,124,9,7,smtp,0.46380302807877416,6.617828575936135,20,64,638,8508,22550,586,0.1913862774504026,0.8556554060051086,0.9909279135026289,Fuzzers,0
51,61436,15,514,tcp,CON,35.060219116356336,1821,1202,35,211,7,7,dns,8.408016636420227,0.6332557971144392,90,43,692,35898,74522,377,0.4605204617914809,0.3143246701575445,0.7430390194020626,Normal,1
137,62248,220,623,tcp,FIN,44.11069694927523,1027,1537,55,232,4,9,ftp,4.140449515687862,3.787765151562832,29,20,932,18910,20605,336,0.7975306685315706,0.12866738879150974,0.47164474709859083,Analysis,1
234,3783,160,534,tcp,INT,19.33390471173042,104,1167,104,136,0,6,dns,3.402349573548115,4.52718194865599,36,54,908,61976,52582,646,0.5643580048371378,0.5485730654599282,0.35824115758327024,Fuzzers,0
124,41677,59,992,icmp,CON,51.67090049613661,755,608,145,67,4,4,ssh,2.190742798804648,1.9027759859182491,87,53,675,63228,32384,699,0.08133880132229088,0.977093886119629,0.27261653390871277,DoS,1
89,61304,192,679,udp,FIN,93.05931201728518,1996,487,189,31,9,4,ssh,8.315736725411817,1.9676688477989868,31,87,241,65849,59493,520,0.9977093757838517,0.5935731746817702,0.9939552943486878,DoS,0
28,63338,191,580,udp,FIN,81.42375963450321,1237,261,150,248,8,6,ssh,8.726296129216674,7.475972928243424,33,26,953,41673,65729,190,0.3527110799939842,0.9083070600170755,0.25463871553874473,Normal,1
